# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       1.951        0.000       10.699      484.637
       1.956      232.700       10.699      484.637
       1.960        0.000       10.699      484.637
       1.964        0.000       10.699      484.637
       1.969        0.000       10.699      484.637
       1.973      226.100       10.699      484.637
       1.978        0.000       10.699      484.637
       1.982      229.300       10.699      484.637
       1.986      221.100       10.699      484.637
       1.991        0.000       10.699      484.637
       1.995        0.000       10.699      484.637
       2.000      227.900       10.699      484.637
       2.004        0.000       10.699      484.637
       2.009        0.000       10.699      484.637
       2.013        0.000       10.699      484.637
       2.017      218.500       10.699      484.637
       2.022        0.000       10.699      484.637
       2.026      231.800       10.699      484.637
       2.031        0.000       10.699      484.637
       2.035      163.700       10.699      484.637
       2.041        0.000       10.699      484.637
       2.047        0.000       10.699      484.637
       2.053      340.400       10.699      484.637
       2.059        0.000       10.699      484.637
       2.065      338.200       10.699      484.637
       2.071        0.000       10.699      484.637
       2.077      158.800       10.699      484.637
       2.083      160.900       10.699      484.637
       2.090      169.900       10.699      484.637
       2.095        0.000       10.699      484.637
       2.101      161.700       10.699      484.637
       2.107      148.400       10.699      484.637
       2.114      167.000       10.699      484.637
       2.120        0.000       10.699      484.637
       2.126      170.600       10.699      484.637
       2.132        0.000       10.699      484.637
       2.136      230.100       10.699      484.637
       2.141        0.000       10.699      484.637
       2.145        0.000       10.699      484.637
       2.150      226.000       10.699      484.637
       2.154        0.000       10.699      484.637
       2.159        0.000       10.699      484.637
       2.163      226.700       10.699      484.637
       2.167        0.000       10.699      484.637
       2.172        0.000       10.699      484.637
       2.176      227.500       10.699      484.637
       2.180        0.000       10.699      484.637
       2.185        0.000       10.699      484.637
       2.189      226.000       10.699      484.637
       2.194        0.000       10.699      484.637
       2.198        0.000       10.699      484.637
       2.203      216.300       10.699      484.637
       2.208        0.000       10.699      484.637
       2.212        0.000       10.699      484.637
       2.216      217.800       10.699      484.637
       2.221      223.800       10.699      484.637
       2.225        0.000       10.699      484.637
       2.230        0.000       10.699      484.637
       2.234        0.000       10.699      484.637
       2.239      228.900       10.699      484.637
       2.243        0.000       10.699      484.637
       2.247        0.000       10.699      484.637
       2.252        0.000       10.699      484.637
       2.257      224.300       10.699      484.637
       2.261        0.000       10.699      484.637
       2.266        0.000       10.699      484.637
       2.270      220.100       10.699      484.637
       2.275        0.000       10.699      484.637
       2.279        0.000       10.699      484.637
       2.283      214.800       10.699      484.637
       2.288      226.200       10.699      484.637
       2.292        0.000       10.699      484.637
       2.297        0.000       10.699      484.637
       2.301      213.100       10.699      484.637
       2.306        0.000       10.699      484.637
       2.310        0.000       10.699      484.637
       2.314        0.000       10.699      484.637
       2.319      221.800       10.699      484.637
       2.323        0.000       10.699      484.637
       2.328        0.000       10.699      484.637
       2.332      216.400       10.699      484.637
       2.337        0.000       10.699      484.637
       2.342        0.000       10.699      484.637
       2.346      212.400       10.699      484.637
       2.351        0.000       10.699      484.637
       2.355        0.000       10.699      484.637
       2.360        0.000       10.699      484.637
       2.364      214.600       10.699      484.637
       2.369        0.000       10.699      484.637
       2.373      228.200       10.699      484.637
       2.377        0.000       10.699      484.637
       2.382        0.000       10.699      484.637
       2.387        0.000       10.699      484.637
       2.391      167.100       10.699      484.637
       2.397        0.000       10.699      484.637
       2.402      222.800       10.699      484.637
       2.406      192.500       10.699      484.637
       2.412      167.500       10.699      484.637
       2.418      167.300       10.699      484.637
       2.424        0.000       10.699      484.637
       2.430      167.900       10.699      484.637
       2.436        0.000       10.699      484.637
       2.440      226.000       10.699      484.637
       2.445      219.300       10.699      484.637
       2.449        0.000       10.699      484.637
       2.454      163.000       10.699      484.637
       2.460        0.000       10.699      484.637
       2.466      164.600       10.699      484.637
       2.472      163.600       10.699      484.637
       2.478        0.000       10.699      484.637
       2.484      160.100       10.699      484.637
       2.490      333.600       10.699      484.637
       2.496      175.300       10.699      484.637
       2.502        0.000       10.699      484.637
       2.508      163.800       10.699      484.637
       2.514        0.000       10.699      484.637
       2.520      340.300       10.699      484.637
       2.526        0.000       10.699      484.637
       2.532      165.200       10.699      484.637
       2.538        0.000       10.699      484.637
       2.544      146.800       10.699      484.637
       2.551      153.900       10.699      484.637
       2.558      148.000       10.699      484.637
       2.564      165.400       10.699      484.637
       2.570        0.000       10.699      484.637
       2.577      328.900       10.699      484.637
       2.583        0.000       10.699      484.637
       2.589        0.000       10.699      484.637
       2.595      157.900       10.699      484.637
       2.601      146.800       10.699      484.637
       2.608      155.300       10.699      484.637
       2.614      212.300       10.699      484.637
       2.619        0.000       10.699      484.637
       2.624        0.000       10.699      484.637
       2.628      225.500       10.699      484.637
       2.633        0.000       10.699      484.637
       2.637        0.000       10.699      484.637
       2.641        0.000       10.699      484.637
       2.646      231.300       10.699      484.637
       2.650        0.000       10.699      484.637
       2.655        0.000       10.699      484.637
       2.659      225.800       10.699      484.637
       2.664      217.700       10.699      484.637
       2.668        0.000       10.699      484.637
       2.673        0.000       10.699      484.637
       2.677        0.000       10.699      484.637
       2.682      222.600       10.699      484.637
       2.686        0.000       10.699      484.637
       2.691        0.000       10.699      484.637
       2.695        0.000       10.699      484.637
       2.700      211.700       10.699      484.637
       2.704        0.000       10.699      484.637
       2.709        0.000       10.699      484.637
       2.713      223.500       10.699      484.637
       2.718      217.000       10.699      484.637
       2.722        0.000       10.699      484.637
       2.727        0.000       10.699      484.637
       2.731        0.000       10.699      484.637
       2.736      229.000       10.699      484.637
       2.740        0.000       10.699      484.637
       2.745      227.100       10.699      484.637
       2.749        0.000       10.699      484.637
       2.754      213.300       10.699      484.637
       2.758        0.000       10.699      484.637
       2.763        0.000       10.699      484.637
       2.767        0.000       10.699      484.637
       2.772      229.900       10.699      484.637
       2.776        0.000       10.699      484.637
       2.781        0.000       10.699      484.637
       2.785        0.000       10.699      484.637
       2.790      224.300       10.699      484.637
       2.794        0.000       10.699      484.637
       2.799        0.000       10.699      484.637
       2.803      228.000       10.699      484.637
       2.808        0.000       10.699      484.637
       2.812        0.000       10.699      484.637
       2.817      217.200       10.699      484.637
       2.821      229.200       10.699      484.637
       2.826        0.000       10.699      484.637
       2.830        0.000       10.699      484.637
       2.834      215.600       10.699      484.637
       2.839        0.000       10.699      484.637
       2.843        0.000       10.699      484.637
       2.848      220.100       10.699      484.637
       2.852        0.000       10.699      484.637
       2.857        0.000       10.699      484.637
       2.861        0.000       10.699      484.637
       2.866      224.200       10.699      484.637
       2.870      226.600       10.699      484.637
       2.875        0.000       10.699      484.637
       2.879        0.000       10.699      484.637
